tract,med_hh_income,med_hh_income_universe,ami_category,below_med_income,below_60pct_med_income,below_moderate_income,sup_dist,csa,spa,ESRI_OID,Shape__Area,Shape__Length
6037602105,51754,1266,Very Low Income,Yes,No,Yes,District 2,City of Hawthorne,SPA 8 - South Bay,3022,6842892.30078125,10462.7491133298
6037602106,59360,2174,Low Income,Yes,No,Yes,District 2,City of Hawthorne,SPA 8 - South Bay,3023,8816440.73144531,13275.3931852255
6037602201,125575,1535,Above Moderate Income,No,No,No,District 2,Unincorporated - Del Aire,SPA 8 - South Bay,3024,17869424.3291016,19353.2920395839
6037602202,82472,917,Low Income,No,No,Yes,District 2,City of Hawthorne,SPA 8 - South Bay,3025,4955122.671875,9580.40845983759
6037602301,106488,1927,Above Moderate Income,No,No,No,District 2,Unincorporated - Wiseburn,SPA 8 - South Bay,3026,19163723.9160156,19200.4013189939
6037602302,137051,1736,Above Moderate Income,No,No,No,District 2,City of Hawthorne,SPA 8 - South Bay,3027,21009975.5761719,22619.8470046019
6037602402,82917,1907,Low Income,No,No,Yes,District 2,City of Hawthorne,SPA 8 - South Bay,3028,14116815.5947266,17027.5226129082
6037602403,61382,1508,Low Income,Yes,No,Yes,District 2,City of Hawthorne,SPA 8 - South Bay,3029,6321159.53808594,10061.295545567
6037602404,49038,1760,Very Low Income,Yes,No,Yes,District 2,City of Hawthorne,SPA 8 - South Bay,3030,6950852.01367188,11175.3980036597
6037602504,47357,1730,Very Low Income,Yes,Yes,Yes,District 2,City of Hawthorne,SPA 8 - South Bay,3031,3455759.32128906,7905.25418604582
6037602505,46202,1516,Very Low Income,Yes,Yes,Yes,District 2,City of Hawthorne,SPA 8 - South Bay,3032,3484787.56835938,7912.83507417977
6037602506,48735,1625,Very Low Income,Yes,No,Yes,District 2,City of Hawthorne,SPA 8 - South Bay,3033,3486330.84179688,7897.2542932693
6037602507,53044,1815,Very Low Income,Yes,No,Yes,District 2,City of Hawthorne,SPA 8 - South Bay,3034,3475129.10839844,7912.08799601715
6037602510,37813,1069,Very Low Income,Yes,Yes,Yes,District 2,City of Hawthorne,SPA 8 - South Bay,3035,3499786.67871094,7934.27861424752
6037602511,50556,1420,Very Low Income,Yes,No,Yes,District 2,City of Hawthorne,SPA 8 - South Bay,3036,3781576.94726563,8374.22776016432
6037602512,74228,601,Low Income,Yes,No,Yes,District 2,Unincorporated - Hawthorne,SPA 8 - South Bay,3037,3145518.14550781,7641.4634590943
